date,season,league,home_team,away_team,bet,bet_result,odds,odds_source,model_probability,market_probability,break_even_probability,signal,expected_roi,actual_clv,actual_result,won,stake,profit,signal_label
2023-04-21,2022/23,La Liga,Espanol,Cadiz,DRAW,D,3.5,Max market,0.29213416373115725,0.28895577680018525,0.2857142857142857,0.003178386930971999,0.022469573059050285,0.009639540925567291,D,True,10.0,25.0,STANDARD
2023-04-22,2022/23,Bundesliga,Bochum,Wolfsburg,DRAW,D,3.71,Max market,0.27306888423090747,0.2703358932886654,0.2695417789757412,0.002732990942242053,0.013085560496666648,-0.007356474155044979,A,False,10.0,-10.0,STANDARD
2023-04-22,2022/23,Bundesliga,Hoffenheim,FC Koln,DRAW,D,3.74,Max market,0.2711981874279604,0.2682491643328214,0.267379679144385,0.002949023095139003,0.014281220980572051,0.006234974872598942,A,False,10.0,-10.0,STANDARD
2023-04-22,2022/23,Bundesliga,Hertha,Werder Bremen,DRAW,D,3.65,Max market,0.27704077997225507,0.27391471379177873,0.273972602739726,0.003126066180476339,0.011198846898730963,0.004662933289805382,A,False,10.0,-10.0,STANDARD
2023-04-22,2022/23,Ligue 1,Lens,Monaco,DRAW,D,3.74,Max market,0.27114510440173745,0.26791696578128743,0.267379679144385,0.003228138620450016,0.014082690462498215,-0.003830998426368415,H,False,10.0,-10.0,STANDARD
2023-04-22,2022/23,Premier League,Brentford,Aston Villa,DRAW,D,3.53,Max market,0.2869788481076084,0.2835987022316248,0.28328611898017,0.0033801458759835645,0.013035333819857442,0.010040070960347924,D,True,10.0,25.299999999999997,STANDARD
2023-04-22,2022/23,Serie A,Salernitana,Sassuolo,DRAW,D,3.66,Max market,0.27612855071325765,0.2731874956657086,0.27322404371584696,0.002941055047549046,0.010630495610522983,-0.0025500713249439477,H,False,10.0,-10.0,STANDARD
2023-04-23,2022/23,Ligue 1,Reims,Strasbourg,DRAW,D,3.86,Max market,0.26257349850096284,0.2599274169726125,0.2590673575129534,0.0026460815283503303,0.013533704213716469,0.01817998523461306,A,False,10.0,-10.0,STANDARD
2023-04-23,2022/23,Serie A,Juventus,Napoli,DRAW,D,3.45,Max market,0.3050528423401883,0.3014223612725247,0.2898550724637681,0.0036304810676636157,0.05243230607364979,0.012433130825770022,A,False,10.0,-10.0,STANDARD
2023-04-23,2022/23,Bundesliga,Leverkusen,RB Leipzig,DRAW,D,3.83,Max market,0.2670959143064845,0.26394386259880676,0.2610966057441253,0.003152051707677739,0.022977351793835643,0.007648228972473192,H,False,10.0,-10.0,STANDARD
